"range","area","pt","brte","nsamp","elev","pgraze","tburn","pgrassf","sppr","wtpr","propwtr","tburn2","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toiyabe","Birch","BI0B4",11,23,1960,0.75,2,0.384615384615385,127,132,0.50965250965251,4,227,132,60,0.720588235294118
"Toiyabe","Grass Springs","GS01",20,31,2179,0.75,3,0.428571428571429,138,159,0.535353535353535,9,183,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS02",8,31,2134,0.75,3,0.619047619047619,138,159,0.535353535353535,9,184,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS03",1,31,2085,0.75,3,0.333333333333333,138,159,0.535353535353535,9,229,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS04",5,31,2079,0.75,3,0.19047619047619,138,159,0.535353535353535,9,220,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS05",13,31,2087,0.75,3,0.476190476190476,138,159,0.535353535353535,9,209,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS06",18,31,2108,0.75,3,0.476190476190476,138,159,0.535353535353535,9,205,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS07",28,31,2145,0.75,3,0.0952380952380952,138,159,0.535353535353535,9,190,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS08",22,31,2129,0.75,3,0.476190476190476,138,159,0.535353535353535,9,160,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS09",30,31,2078,0.75,3,0.0952380952380952,138,159,0.535353535353535,9,207,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS10",11,31,2062,0.75,3,0.476190476190476,138,159,0.535353535353535,9,206,159.5,79,0.716134268276847
"Shoshone","Underdown","UN02.2",16,31,2147,1,7,0.666666666666667,162,175,0.519287833827893,49,220,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.1",16,31,2207,1,7,0.666666666666667,162,175,0.519287833827893,49,213,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.2",18,31,2246,1,4,0.571428571428571,162,175,0.519287833827893,16,210,152,81.5,0.721988165680473
"Shoshone","Underdown","UN0B1",18,31,2083,1,4,0.285714285714286,103,97,0.485,16,183,104,60,0.68780487804878
"Shoshone","Underdown","UN0B2",17,31,2129,1,4,0.19047619047619,162,175,0.519287833827893,16,191,175,85,0.728
"Shoshone","Underdown","UN0B3",22,31,2135,1,4,0.285714285714286,162,175,0.519287833827893,16,188,175,85,0.728
"Shoshone","Underdown","UN0B4",23,31,2137,1,4,0.428571428571429,162,175,0.519287833827893,16,206,175,85,0.728
