"range","area","pt","brte","nsamp","elev","pgraze","pgrassf","sppr","propwtr","hillshade","medwtpcp","medpropwtr"
"Monitor","Barley","BL03",0,31,2225,1,0.285714285714286,34,0.784810126582278,210,110,0.735294117647059
"Monitor","Barley","BL04",0,28,2241,1,0.5,48,0.799163179916318,214,165,0.744186046511628
"Monitor","Barley","BL05",0,31,2245,1,0.285714285714286,48,0.799163179916318,218,165,0.744186046511628
"Monitor","Barley","BL08",0,31,2275,1,0.761904761904762,48,0.799163179916318,221,165,0.744186046511628
"Monitor","Barley","BL09",1,31,2283,1,0.428571428571429,48,0.799163179916318,220,165,0.744186046511628
"Monitor","Barley","BL11",0,31,2318,1,0.476190476190476,48,0.799163179916318,205,165,0.744186046511628
"Monitor","Barley","BL12",3,31,2345,1,0.380952380952381,60,0.808917197452229,229,216,0.756183745583039
"Monitor","Barley","BL13",0,31,2359,1,0.523809523809524,60,0.808917197452229,178,216,0.756183745583039
"Monitor","Barley","BL14",0,31,2376,1,0.333333333333333,60,0.808917197452229,222,216,0.756183745583039
"Monitor","Barley","BL15",0,31,2389,1,0.523809523809524,60,0.808917197452229,246,216,0.756183745583039
"Toiyabe","Wall","WA04.1",21,31,2260,1,0.0952380952380952,183,0.509383378016086,222,148,0.669260700389105
"Shoshone","Becker","BE01.1",2,31,2166,1,0.619047619047619,28,0.730769230769231,163,76,0.695652173913043
"Shoshone","Becker","BE01.2",0,31,2188,1,0.904761904761905,28,0.730769230769231,197,76,0.695652173913043
"Shoshone","Becker","BE02.1",6,31,2241,1,0.571428571428571,50,0.738219895287958,187,146,0.738219895287958
"Shoshone","Becker","BE02.2",9,31,2248,1,0.571428571428571,50,0.738219895287958,228,146,0.738219895287958
"Toiyabe","Birch","BI01.1",4,26,1966,0.857142857,0.5,36,0.74468085106383,197,105,0.720588235294118
"Toiyabe","Birch","BI01.2",1,31,1991,0.857142857,0.80952380952381,36,0.74468085106383,229,105,0.720588235294118
"Toiyabe","Birch","BI02.1",4,27,2058,0.857142857,0.588235294117647,77,0.725978647686833,216,236,0.726153846153846
"Toiyabe","Birch","BI02.2",8,25,2105,0.857142857,0.533333333333333,77,0.725978647686833,111,236,0.726153846153846
"Toiyabe","Birch","BI03.1",1,26,2122,0.857142857,0.0625,77,0.725978647686833,252,236,0.726153846153846
"Toiyabe","Birch","BI03.2",4,31,2153,0.857142857,0.380952380952381,70,0.731800766283525,227,214,0.727891156462585
"Toiyabe","Birch","BI03.3",4,31,2158,0.857142857,0.761904761904762,70,0.731800766283525,221,202.5,0.729845961373055
"Toiyabe","Birch","BI04.1",1,31,2211,0.857142857,0.523809523809524,70,0.731800766283525,234,214,0.727891156462585
"Toiyabe","Birch","BI04.2",9,31,2231,0.857142857,0.428571428571429,70,0.731800766283525,239,214,0.727891156462585
"Toiyabe","Birch","BI04.3",4,31,2324,0.857142857,0.714285714285714,70,0.731800766283525,208,214,0.727891156462585
"Toiyabe","Birch","BI05.1",9,31,2376,0.857142857,0.333333333333333,70,0.731800766283525,243,202.5,0.729845961373055
"Toiyabe","Birch","BI05.2",12,31,2410,0.857142857,0.476190476190476,70,0.731800766283525,191,202.5,0.729845961373055
"Toiyabe","Birch","BI06.1",5,30,2484,0.857142857,0.55,70,0.731800766283525,197,202.5,0.729845961373055
"Toiyabe","Birch","BI06.2",5,31,2524,0.857142857,0.380952380952381,70,0.731800766283525,214,202.5,0.729845961373055
"Toiyabe","Birch","BI07.1",3,31,2555,0.714285714,0.80952380952381,59,0.745689655172414,237,177.5,0.729822784810127
"Toiyabe","Birch","BI07.2",1,31,2586,0.714285714,0.238095238095238,59,0.745689655172414,185,177.5,0.729822784810127
"Toquima","Moores East","ME01.1",1,31,2543,1,0.476190476190476,43,0.759776536312849,198,133,0.730769230769231
"Toquima","Moores East","ME01.2",0,31,2509,1,0.238095238095238,43,0.759776536312849,205,133,0.730769230769231
"Toquima","Moores East","ME02.2",1,25,2432,1,0.2,43,0.759776536312849,193,133,0.730769230769231
"Toquima","Moores East","ME04.1",2,31,2228,1,0.285714285714286,36,0.763157894736842,208,110,0.728476821192053
"Toquima","Moores East","ME04.2",4,31,2196,1,0.714285714285714,36,0.763157894736842,222,110,0.728476821192053
"Toquima","Moores West","MW02.1",1,31,2222,0.714285714,0.333333333333333,32,0.755725190839695,224,93,0.732283464566929
"Toquima","Moores West","MW02.2",3,31,2250,0.714285714,0.19047619047619,32,0.755725190839695,209,93,0.732283464566929
"Toquima","Moores West","MW05.2",0,31,2506,1,0.333333333333333,43,0.759776536312849,221,133,0.730769230769231
"Toiyabe","San Juan","SJ01.1",11,27,2104,1,0.882352941176471,27,0.721649484536082,176,64,0.686798590403904
"Toiyabe","San Juan","SJ01.2",3,31,2117,1,0.571428571428571,36,0.723076923076923,152,89.5,0.707335014712064
"Toiyabe","San Juan","SJ01.3",4,26,2160,1,0.75,36,0.723076923076923,237,89.5,0.707335014712064
"Toiyabe","San Juan","SJ02.1",2,31,2220,1,0.857142857142857,36,0.723076923076923,236,89.5,0.707335014712064
"Toiyabe","San Juan","SJ02.2",4,26,2230,1,0.4375,36,0.723076923076923,192,89.5,0.707335014712064
"Toiyabe","San Juan","SJ02.3",12,31,2289,1,0.619047619047619,55,0.717948717948718,196,141,0.717560217560218
"Toiyabe","San Juan","SJ03.1",2,21,2338,1,0.380952380952381,55,0.717948717948718,238,141,0.717560217560218
"Toiyabe","San Juan","SJ03.2",0,21,2384,1,0.142857142857143,55,0.717948717948718,238,141,0.717560217560218
"Toiyabe","San Juan","SJ04.1",3,21,2401,1,0.523809523809524,55,0.717948717948718,194,141,0.717560217560218
"Toiyabe","San Juan","SJ04.2",10,21,2446,1,0.523809523809524,55,0.717948717948718,244,141,0.717560217560218
