"range","area","pt","yr","brte","nsamp","mtype","elev","burn","graze","pgraze","igrassf","tburn","pgrassf","sppr","wtpr"
"Shoshone","Becker","BE03.2",2006,0,10,1,2373,0,1,1,NA,NA,NA,90,273
"Toiyabe","Birch","BI01.1",2006,4,10,1,1966,0,1,1,NA,NA,NA,74,183
"Toiyabe","Birch","BI01.2",2006,6,10,1,1991,0,1,1,NA,NA,NA,74,183
"Toiyabe","Birch","BI02.1",2006,1,10,1,2058,0,1,1,NA,NA,NA,118,346
"Toiyabe","Birch","BI02.2",2006,5,10,1,2105,0,1,1,NA,NA,NA,118,346
"Toiyabe","Birch","BI03.1",2006,4,10,1,2122,0,1,1,NA,NA,NA,118,346
"Toiyabe","Birch","BI03.2",2006,8,10,1,2153,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI03.3",2006,2,10,1,2158,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI04.1",2006,2,10,1,2211,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI04.2",2006,2,10,1,2231,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI04.3",2006,1,10,1,2324,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI05.1",2006,5,10,1,2376,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI05.2",2006,5,10,1,2410,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI06.1",2006,3,10,1,2484,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI06.2",2006,0,10,1,2524,0,1,1,NA,NA,NA,113,323
"Toiyabe","Birch","BI07.1",2006,0,10,1,2555,0,1,1,NA,NA,NA,106,289
"Toiyabe","Birch","BI07.2",2006,0,10,1,2586,0,1,1,NA,NA,NA,106,289
"Toiyabe","Grass Springs","GS01",2006,0,31,1,2179,1,1,1,0.571428571428571,0,NA,85,217
"Toiyabe","Grass Springs","GS02",2006,0,31,1,2134,1,1,1,0.571428571428571,0,NA,85,217
"Toiyabe","Grass Springs","GS03",2006,0,31,1,2085,1,1,1,0.0952380952380952,0,NA,85,217
"Toiyabe","Grass Springs","GS04",2006,0,31,1,2079,1,1,1,0,0,NA,85,217
"Toiyabe","Grass Springs","GS05",2006,2,31,1,2087,1,1,1,0.761904761904762,0,NA,85,217
"Toiyabe","Grass Springs","GS06",2006,6,31,1,2108,1,1,1,0.571428571428571,0,NA,85,217
"Toiyabe","Grass Springs","GS07",2006,11,31,1,2145,1,1,1,0.523809523809524,0,NA,85,217
"Toiyabe","Grass Springs","GS08",2006,6,31,1,2129,1,1,1,0.761904761904762,0,NA,85,217
"Toiyabe","Grass Springs","GS09",2006,7,31,1,2078,1,1,1,0.285714285714286,0,NA,85,217
"Toiyabe","Grass Springs","GS10",2006,1,31,1,2062,1,1,1,0.285714285714286,0,NA,85,217
"Toiyabe","Jett","JE01.1",2006,4,10,1,1972,0,0,0,NA,NA,NA,58,122
"Toiyabe","Jett","JE01.2",2006,5,10,1,1978,0,0,0,NA,NA,NA,58,122
"Toiyabe","Jett","JE01.3",2006,1,2,1,2016,0,0,0,NA,NA,NA,58,122
"Toiyabe","Jett","JE02.1",2006,0,8,1,2051,0,0,0,NA,NA,NA,111,283
"Toiyabe","Jett","JE02.2",2006,0,10,1,2085,0,0,0,NA,NA,NA,111,283
"Toiyabe","Jett","JE02.3",2006,1,10,1,2115,0,0,0,NA,NA,NA,111,283
"Toiyabe","Jett","JE03.1",2006,1,10,1,2143,0,0,0,NA,NA,NA,111,283
"Toiyabe","Jett","JE03.2",2006,3,9,1,2156,0,0,0,NA,NA,NA,111,283
"Toquima","Meadow","MD01.1",2006,0,10,1,2259,0,1,1,NA,NA,NA,90,245
"Toquima","Meadow","MD01.2",2006,0,10,1,2273,0,1,1,NA,NA,NA,90,245
"Toquima","Meadow","MD01.3",2006,0,10,1,2302,0,1,1,NA,NA,NA,90,245
"Toquima","Meadow","MD02.1",2006,0,10,1,2342,0,1,1,NA,NA,NA,90,245
"Toquima","Meadow","MD02.2",2006,0,10,1,2368,0,1,1,NA,NA,NA,90,245
"Toquima","Meadow","MD02.3",2006,0,10,1,2384,0,1,1,NA,NA,NA,103,299
"Toquima","Meadow","MD03.1",2006,0,10,1,2447,0,1,1,NA,NA,NA,108,323
