"range","area","pt","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toiyabe","Jett","JE03.3",126,165,79,0.692028459416292
"Toquima","Meadow","MD01.1",205,147,78,0.716294048430049
"Toquima","Meadow","MD01.2",204,147,78,0.716294048430049
"Toquima","Meadow","MD01.3",203,147,78,0.716294048430049
"Toquima","Meadow","MD02.1",186,147,78,0.716294048430049
"Toquima","Meadow","MD02.2",208,147,78,0.716294048430049
"Toquima","Meadow","MD02.3",201,176.5,92.5,0.717783052039381
"Toquima","Meadow","MD03.1",202,190,98.5,0.720469477578618
"Toquima","Meadow","MD03.2",200,190,98.5,0.720469477578618
"Toquima","Meadow","MD04.1",187,176.5,92.5,0.717783052039381
"Toquima","Meadow","MD04.2",169,190,98.5,0.720469477578618
"Toquima","Meadow","MD05.1",210,190,98.5,0.720469477578618
"Toquima","Meadow","MD05.2",209,180,96.5,0.714021263813795
"Toquima","Moores East","ME01.1",198,133,49,0.730769230769231
"Toquima","Moores East","ME01.2",205,133,49,0.730769230769231
"Toquima","Moores East","ME02.1",209,133,49,0.730769230769231
"Toquima","Moores East","ME02.2",193,133,49,0.730769230769231
"Toquima","Moores East","ME03.1",228,133,49,0.730769230769231
"Toquima","Moores East","ME03.2",194,133,49,0.730769230769231
"Toquima","Moores East","ME04.1",208,110,41,0.728476821192053
"Toquima","Moores East","ME04.2",222,110,41,0.728476821192053
"Toquima","Moores West","MW01.1",220,93,34,0.732283464566929
"Toquima","Moores West","MW01.2",213,93,34,0.732283464566929
"Toquima","Moores West","MW02.1",224,93,34,0.732283464566929
"Toquima","Moores West","MW02.2",209,93,34,0.732283464566929
"Toquima","Moores West","MW03.1",202,93,34,0.732283464566929
"Toquima","Moores West","MW03.2",224,133,49,0.730769230769231
"Toquima","Moores West","MW04.1",224,133,49,0.730769230769231
"Toquima","Moores West","MW04.2",211,133,49,0.730769230769231
"Toquima","Moores West","MW05.1",232,133,49,0.730769230769231
"Toquima","Moores West","MW05.2",221,133,49,0.730769230769231
"Toquima","Northumberland East","NE01.1",207,153,56,0.732057416267943
"Toquima","Northumberland East","NE01.2",211,153,56,0.732057416267943
"Toquima","Northumberland East","NE02.1",235,147,54,0.73134328358209
"Toquima","Northumberland East","NE02.2",243,147,54,0.73134328358209
"Toquima","Northumberland East","NE03.1",212,201,70,0.74169741697417
"Toquima","Northumberland East","NE03.2",224,201,70,0.74169741697417
"Toquima","Northumberland East","NE04.1",236,201,70,0.74169741697417
"Toquima","Northumberland East","NE04.2",237,201,70,0.74169741697417
"Toquima","Northumberland East","NE05.1",250,201,70,0.74169741697417
"Toquima","Northumberland East","NE05.2",237,201,70,0.74169741697417
"Toquima","Northumberland West","NW01.1",188,93,35,0.7265625
"Toquima","Northumberland West","NW01.2",210,140,51,0.732984293193717
"Toquima","Northumberland West","NW02.1",209,140,51,0.732984293193717
"Toquima","Northumberland West","NW02.2",215,140,51,0.732984293193717
"Toquima","Northumberland West","NW03.1",195,172,61,0.738197424892704
"Toquima","Northumberland West","NW03.2",244,172,61,0.738197424892704
"Toquima","Northumberland West","NW04.1",242,172,61,0.738197424892704
"Toquima","Northumberland West","NW04.2",241,172,61,0.738197424892704
"Toquima","Northumberland West","NW05.1",195,172,61,0.738197424892704
"Toquima","Northumberland West","NW06.1",176,201,70,0.74169741697417
"Toquima","Northumberland West","NW06.2",235,201,70,0.74169741697417
"Toiyabe","Ophir","OP01.1",208,92,51,0.710227272727273
"Toiyabe","Ophir","OP01.2",161,92,51,0.710227272727273
"Toiyabe","Ophir","OP02.1",186,92,51,0.710227272727273
"Toiyabe","Ophir","OP02.2",157,92,51,0.710227272727273
"Toiyabe","Ophir","OP03.1",212,92,51,0.710227272727273
"Toiyabe","Ophir","OP03.2",193,92,51,0.710227272727273
"Toiyabe","Ophir","OP04.1",192,203,99,0.738007380073801
"Toiyabe","Ophir","OP05.1",217,203,99,0.738007380073801
"Toiyabe","Ophir","OP05.2",177,227.5,107,0.727978049011259
"Toiyabe","Ophir","OP06.1",192,201.5,85,0.727978049011259
"Toiyabe","Ophir","OP06.2",191,203,99,0.738007380073801
"Toiyabe","Ophir","OP07.1",135,203,99,0.738007380073801
"Toiyabe","Ophir","OP08.1",170,203,99,0.738007380073801
"Toiyabe","Ophir","OP09.1",155,203,99,0.738007380073801
"Toiyabe","Ophir","OP09.2",124,206,102,0.736462093862816
"Shoshone","Riley","RI01.1",217,94,57,0.709124634129739
"Shoshone","Riley","RI01.2",182,94,57,0.709124634129739
"Shoshone","Riley","RI02.1",200,94,57,0.709124634129739
"Shoshone","Riley","RI02.2",203,94,57,0.709124634129739
"Shoshone","Riley","RI03.1",221,94,57,0.709124634129739
"Shoshone","Riley","RI03.2",225,94,57,0.709124634129739
"Shoshone","Riley","RI04.1",208,125,73,0.721988165680473
"Shoshone","Riley","RI04.2",224,125,73,0.721988165680473
"Shoshone","Riley","RI05.1",210,198,100,0.733132379073139
"Shoshone","Riley","RI05.2",204,125,73,0.721988165680473
"Monitor","Ryegrass","RY01",214,99,47,0.729885057471264
"Monitor","Ryegrass","RY02",215,99,47,0.729885057471264
"Monitor","Ryegrass","RY03",214,135,61,0.730088495575221
"Monitor","Ryegrass","RY04",211,114,54,0.732673267326733
"Monitor","Ryegrass","RY05",197,135,61,0.730088495575221
"Monitor","Ryegrass","RY06",214,114,54,0.732673267326733
"Monitor","Ryegrass","RY07",221,115,55,0.730392156862745
"Toiyabe","San Juan","SJ01.1",176,64,47,0.686798590403904
"Toiyabe","San Juan","SJ01.2",152,89.5,57,0.707335014712064
"Toiyabe","San Juan","SJ01.3",237,89.5,57,0.707335014712064
"Toiyabe","San Juan","SJ02.1",236,89.5,57,0.707335014712064
"Toiyabe","San Juan","SJ02.2",192,89.5,57,0.707335014712064
"Toiyabe","San Juan","SJ02.3",196,141,79,0.717560217560218
"Toiyabe","San Juan","SJ03.1",238,141,79,0.717560217560218
"Toiyabe","San Juan","SJ03.2",238,141,79,0.717560217560218
"Toiyabe","San Juan","SJ04.1",194,141,79,0.717560217560218
"Toiyabe","San Juan","SJ04.2",244,141,79,0.717560217560218
"Toiyabe","San Juan","SJ05.1",216,141,79,0.717560217560218
"Toiyabe","San Juan","SJ05.2",190,140,56,0.717171717171717
"Toiyabe","Summit","SU01.1",176,92,54.5,0.706808551617874
"Toiyabe","Summit","SU01.2",149,92,54.5,0.706808551617874
"Toiyabe","Summit","SU02.1",193,92,54.5,0.706808551617874
"Toiyabe","Summit","SU02.2",190,92,54.5,0.706808551617874
"Toiyabe","Summit","SU03.1",214,92,54.5,0.706808551617874
"Toiyabe","Summit","SU03.2",211,92,54.5,0.706808551617874
"Toiyabe","Summit","SU04.1",156,92,54.5,0.706808551617874
"Toiyabe","Summit","SU04.2",138,201.5,107,0.727978049011259
"Toiyabe","Summit","SU05.1",247,198,104,0.730739893211289
"Toiyabe","Summit","SU05.2",223,198,104,0.730739893211289
"Toiyabe","Summit","SU06.1",151,198,104,0.730739893211289
"Toiyabe","Summit","SU06.2",127,198,104,0.730739893211289
"Toiyabe","Stewart","SW00.1",148,160.5,90,0.714001770338778
"Toiyabe","Stewart","SW01.1",170,160.5,90,0.714001770338778
"Toiyabe","Stewart","SW01.2",200,160.5,90,0.714001770338778
"Toiyabe","Stewart","SW02.1",204,238.5,134,0.706870426491241
"Toiyabe","Stewart","SW02.2",238,238.5,134,0.706870426491241
"Toiyabe","Stewart","SW03.1",159,238.5,134,0.706870426491241
"Toiyabe","Stewart","SW03.2",199,238.5,134,0.706870426491241
"Toiyabe","Stewart","SW04.1",242,238.5,134,0.706870426491241
"Toiyabe","Stewart","SW05.1",244,238.5,134,0.706870426491241
"Toiyabe","Stewart","SW05.2",250,238.5,134,0.706870426491241
"Toiyabe","Stewart","SW06.1",242,235,135,0.703159862509799
"Toiyabe","Stewart","SW06.2",205,235,135,0.703159862509799
"Shoshone","Underdown","UN01.1",219,70,48,0.679268292682927
"Shoshone","Underdown","UN01.2",187,70,48,0.679268292682927
"Shoshone","Underdown","UN02.1",195,70,48,0.679268292682927
"Shoshone","Underdown","UN02.2",220,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.1",213,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.2",210,152,81.5,0.721988165680473
"Shoshone","Underdown","UN04.1",208,125,73,0.721988165680473
"Shoshone","Underdown","UN04.2",209,198,100,0.733132379073139
"Shoshone","Underdown","UN05.1",202,198,100,0.733132379073139
