"range","area","pt","yr","occ","elev","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Shoshone","Becker","BE02.1","2006",1,2241,1,187,146,55,0.738219895287958
"Shoshone","Becker","BE02.2","2006",1,2248,1,228,146,55,0.738219895287958
"Shoshone","Becker","BE03.1","2013",0,2359,1,191,146,55,0.738219895287958
"Shoshone","Becker","BE03.2","2013",0,2373,1,154,146,55,0.738219895287958
"Toiyabe","Birch","BI01.1","2006",1,1966,1,197,105,60,0.720588235294118
"Toiyabe","Birch","BI01.2","2006",1,1991,1,229,105,60,0.720588235294118
"Toiyabe","Birch","BI02.1","2006",1,2058,1,216,236,100,0.726153846153846
"Toiyabe","Birch","BI02.2","2006",1,2105,1,111,236,100,0.726153846153846
"Toiyabe","Birch","BI03.1","2006",1,2122,1,252,236,100,0.726153846153846
"Toiyabe","Birch","BI03.2","2006",1,2153,1,227,214,100,0.727891156462585
"Toiyabe","Birch","BI03.3","2006",1,2158,1,221,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI04.1","2006",1,2211,1,234,214,100,0.727891156462585
"Toiyabe","Birch","BI04.2","2006",1,2231,1,239,214,100,0.727891156462585
"Toiyabe","Birch","BI04.3","2006",1,2324,1,208,214,100,0.727891156462585
"Toiyabe","Birch","BI05.1","2006",1,2376,1,243,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI05.2","2006",1,2410,1,191,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI06.1","2006",1,2484,1,197,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI06.2","2012",1,2524,1,214,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI07.1","2012",1,2555,1,237,177.5,87,0.729822784810127
"Toiyabe","Birch","BI07.2","2012",1,2586,1,185,177.5,87,0.729822784810127
"Monitor","Barley","BL01","2013",1,2249,1,214,110,36,0.735294117647059
"Monitor","Barley","BL02","2015",0,2240,1,247,110,36,0.735294117647059
"Monitor","Barley","BL03","2013",1,2225,1,210,110,36,0.735294117647059
"Monitor","Barley","BL04","2013",1,2241,1,214,165,55,0.744186046511628
"Monitor","Barley","BL05","2013",1,2245,1,218,165,55,0.744186046511628
"Monitor","Barley","BL06","2015",0,2256,1,215,165,55,0.744186046511628
"Monitor","Barley","BL07","2015",0,2258,1,217,165,55,0.744186046511628
"Monitor","Barley","BL08","2012",1,2275,1,221,165,55,0.744186046511628
"Monitor","Barley","BL09","2008",1,2283,1,220,165,55,0.744186046511628
"Monitor","Barley","BL10","2015",0,2309,1,209,165,55,0.744186046511628
"Monitor","Barley","BL11","2013",1,2318,1,205,165,55,0.744186046511628
"Monitor","Barley","BL12","2008",1,2345,1,229,216,69,0.756183745583039
"Monitor","Barley","BL13","2012",1,2359,1,178,216,69,0.756183745583039
"Monitor","Barley","BL14","2013",1,2376,1,222,216,69,0.756183745583039
"Monitor","Barley","BL15","2013",1,2389,1,246,216,69,0.756183745583039
"Monitor","Barley","BL16","2015",0,2398,1,190,215,64.5,0.776615858031372
