state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,grazed,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed,prop_grazed
Nevada,Shoshone,Underdown,UN05.2,,,point,2004,2506,0,NA,21,,18,,11,,198,108,461771,4334944,,
Nevada,Shoshone,Underdown,UN06.1,,,point,2004,2569,0,NA,21,,18,,17,,198,108,461400,4334852,,
Nevada,Shoshone,Underdown,UN06.2,,,point,2004,2591,0,NA,21,,17,,13,,198,108,461304,4334523,,
Nevada,Shoshone,Underdown,UN07.1,,,point,2004,2634,0,NA,21,,20,,17,,198,108,461094,4334514,,
Nevada,Shoshone,Underdown,UN07.2,,,point,2004,2657,0,NA,21,,17,,14,,198,108,461002,4334601,,
Nevada,Toiyabe,Wall,WA01.1,,,point,2004,1938,0,NA,21,,5,,3,,67,34,480640,4281421,,
Nevada,Toiyabe,Wall,WA01.2,,,point,2004,1984,0,NA,21,,8,,7,,102,63,479744,4281663,,
Nevada,Toiyabe,Wall,WA02.1,,,point,2004,2037,0,NA,21,,3,,3,,102,63,478861,4281929,,
Nevada,Toiyabe,Wall,WA02.2,,,point,2004,2087,0,NA,21,,5,,0,,108,67,478012,4282228,,
Nevada,Toiyabe,Wall,WA03.1,,,point,2004,2151,1,2001,21,,6,,19,,108,67,477057,4282690,,
Nevada,Toiyabe,Wall,WA03.2,,,point,2004,2201,1,2001,21,,15,,18,,108,67,476504,4283065,,
Nevada,Toiyabe,Wall,WA04.1,,,point,2004,2260,0,NA,21,,5,,19,,147,89,475818,4283922,,
Nevada,Toiyabe,Wall,WA04.2,,,point,2004,2303,1,2001,21,,18,,20,,147,89,475454,4284265,,
Nevada,Toiyabe,Wall,WA05.1,,,point,2004,2356,1,2001,21,,13,,19,,147,89,474874,4284514,,
Nevada,Toiyabe,Wall,WA05.2,,,point,2004,2414,1,2001,21,,13,,15,,147,89,474577,4284907,,
Nevada,Toiyabe,Wall,WA06.1,,,point,2004,2405,1,2001,21,,11,,18,,147,89,474931,4284883,,
Nevada,Shoshone,Underdown,UN0B1,,,point,2005,2083,1,2005,21,20,,19,,,182,91,466208,4334493,,
Nevada,Shoshone,Underdown,UN0B2,,,point,2005,2129,1,2005,21,15,,15,,,274,157,465679,4334701,,
Nevada,Shoshone,Underdown,UN0B3,,,point,2005,2135,1,2005,21,4,,12,,,274,157,465579,4334726,,
Nevada,Shoshone,Underdown,UN0B4,,,point,2005,2137,1,2005,21,1,,13,,,274,157,465472,4334801,,
Nevada,Shoshone,Underdown,UN0B5,,,point,2005,2231,1,2005,21,18,,21,,,274,157,464142,4335228,,
Nevada,Shoshone,Underdown,UN0B6,,,point,2005,2245,1,2005,21,5,,19,,,274,157,463923,4335318,,
Nevada,Shoshone,Underdown,UN0B7,,,point,2005,2259,1,2005,21,11,,21,,,274,157,463704,4335430,,
Nevada,Toiyabe,Wall,WA0B1,,,point,2005,2174,1,2001,21,,9,,20,,272,130,476751,4282806,,
Nevada,Toiyabe,Wall,WA0B2,,,point,2005,2212,1,2001,21,,8,,21,,335,181,476381,4283210,,
Nevada,Toiyabe,Wall,WA0B3,,,point,2005,2227,1,2001,21,,9,,21,,335,181,476328,4283496,,
Nevada,Toiyabe,Wall,WA0B4,,,point,2005,2263,1,2001,21,,17,,20,,335,181,475964,4283880,,
Nevada,Toiyabe,Wall,WA0B5,,,point,2005,2267,1,2001,21,,12,,17,,335,181,475713,4283998,,
Nevada,Toiyabe,Wall,WA0B6,,,point,2005,2321,1,2001,21,,19,,20,,335,181,475182,4284300,,
Nevada,Toiyabe,Wall,WA0B7,,,point,2005,2372,1,2001,21,,18,,11,,335,181,474706,4284574,,
Nevada,Monitor,Allison,AL14,31,0,point,2006,2285,0,NA,21,,14,,13,,180,70,544647,4347369,1,1
Nevada,Monitor,Allison,AL15,31,1,point,2006,2325,0,NA,21,,16,,17,,202,77,545072,4348363,1,1
Nevada,Monitor,Allison,AL16,31,0,point,2006,2394,0,NA,21,,10,,12,,202,77,545895,4349257,1,1
Nevada,Monitor,Allison,AL17,31,0,point,2006,2487,0,NA,21,,14,,10,,202,77,547012,4351091,1,1
Nevada,Monitor,Allison,AL18,31,0,point,2006,2397,0,NA,21,,12,,13,,202,77,547741,4351223,1,1
Nevada,Monitor,Allison,AL19,24,0,point,2006,2280,0,NA,14,,11,,7,,170,67,548712,4351888,1,1
Nevada,Monitor,Allison,AL20,31,4,point,2006,2227,0,NA,21,,11,,7,,170,67,549703,4352135,1,1
Nevada,Monitor,Allison,AL21,31,0,point,2006,2209,0,NA,21,,16,,7,,170,67,549951,4352294,1,1
Nevada,Monitor,Allison,AL22,31,0,point,2006,2179,0,NA,21,,7,,2,,170,67,550268,4352752,1,1
Nevada,Toquima,Antone,AN01.1,10,0,point,2006,2403,0,NA,,,,,,,299,103,508271,4280080,1,1
Nevada,Toquima,Antone,AN01.2,10,1,point,2006,2425,0,NA,,,,,,,299,103,507742,4279834,1,1
