range,area,pt,x,y,Southwestness
Toquima,Antone,AN01.2,507742.00000000000,4279834.00000000000,0.97648531199
Toquima,Antone,AN01.3,507392.00000000000,4279847.00000000000,-0.98943668604
Toquima,Antone,AN02.1,506905.00000000000,4279511.00000000000,-0.93459069729
Toquima,Antone,AN02.2,506461.00000000000,4279457.00000000000,-0.99608784914
Toquima,Antone,AN03.1,505591.00000000000,4279341.00000000000,-0.44807362557
Toquima,Antone,AN03.2,505178.00000000000,4279056.00000000000,-0.33214539290
Toquima,Antone,AN04.1,504693.00000000000,4278945.00000000000,-0.60765451193
Shoshone,Barrett,BA01.1,457842.00000000000,4326960.00000000000,0.98111134768
Shoshone,Barrett,BA01.2,457435.00000000000,4327193.00000000000,-0.88835209608
Shoshone,Barrett,BA02.1,456127.00000000000,4327497.00000000000,0.99809324741
Shoshone,Barrett,BA02.2,455870.00000000000,4327620.00000000000,0.35658171773
Shoshone,Barrett,BA03.1,454833.00000000000,4327629.00000000000,-0.98943668604
Shoshone,Barrett,BA03.2,454493.00000000000,4327634.00000000000,0.33316516876
Shoshone,Barrett,BA04.1,453911.00000000000,4327755.00000000000,-0.99965107441
Shoshone,Barrett,BA04.2,453813.00000000000,4327895.00000000000,-0.78558266163
Shoshone,Barrett,BA05.1,453507.00000000000,4328236.00000000000,0.12813165784
Shoshone,Barrett,BA05.2,453312.00000000000,4328349.00000000000,-0.87609779835
Shoshone,Barrett,BA06.1,453038.00000000000,4328612.00000000000,-0.85737419128
Shoshone,Barrett,BA06.2,452941.00000000000,4328666.00000000000,-0.41418513656
Shoshone,Becker,BE01.1,459535.00000000000,4327971.00000000000,-0.56795209646
Shoshone,Becker,BE01.2,459363.00000000000,4328408.00000000000,-0.22502963245
Shoshone,Becker,BE02.1,459244.00000000000,4329392.00000000000,-0.04998439550
Shoshone,Becker,BE02.2,459307.00000000000,4329527.00000000000,0.91527587175
Shoshone,Becker,BE03.1,459789.00000000000,4330635.00000000000,1.00000000000
Shoshone,Becker,BE03.2,459844.00000000000,4330725.00000000000,0.62015730143
Toiyabe,Birch,BI01.1,498887.00000000000,4358987.00000000000,-0.22396227717
Toiyabe,Birch,BI01.2,498570.00000000000,4359048.00000000000,-0.96207702160
Toiyabe,Birch,BI02.1,497584.00000000000,4359812.00000000000,-0.82516467571
Toiyabe,Birch,BI02.2,497212.00000000000,4360036.00000000000,0.65581071377
Toiyabe,Birch,BI03.1,497171.00000000000,4360414.00000000000,-0.71071845293
Toiyabe,Birch,BI03.2,496976.00000000000,4360740.00000000000,0.91527587175
Toiyabe,Birch,BI03.3,496572.00000000000,4361012.00000000000,-0.48132997751
Toiyabe,Birch,BI04.1,496016.00000000000,4362190.00000000000,0.10075605661
Toiyabe,Birch,BI04.2,495899.00000000000,4362638.00000000000,0.52532196045
Toiyabe,Birch,BI04.3,496025.00000000000,4363900.00000000000,0.13804706931
Toiyabe,Birch,BI05.1,496070.00000000000,4364329.00000000000,0.93674141169
Toiyabe,Birch,BI05.2,495912.00000000000,4364636.00000000000,0.67545980215
Toiyabe,Birch,BI06.1,495419.00000000000,4364918.00000000000,-0.22396227717
Toiyabe,Birch,BI06.2,495236.00000000000,4365279.00000000000,-0.32236900926
Toiyabe,Birch,BI07.1,495466.00000000000,4365710.00000000000,0.30921003223
Toiyabe,Birch,BI07.2,495570.00000000000,4366063.00000000000,0.57684129477
Toiyabe,Birch,BI0B1,499898.00000000000,4358107.00000000000,-0.58747792244
Toiyabe,Birch,BI0B2,499642.00000000000,4358265.00000000000,0.88865965605
Toiyabe,Birch,BI0B3,499332.00000000000,4358458.00000000000,0.46358636022
Toiyabe,Birch,BI0B4,499077.00000000000,4358851.00000000000,0.13804706931
Toiyabe,Birch,BISG01,499415.00000000000,4358456.00000000000,0.52532196045
Toiyabe,Birch,BISG02,499499.00000000000,4358407.00000000000,-0.55689400435
Toiyabe,Birch,BISG03,499618.00000000000,4358276.00000000000,-0.87609779835
Toiyabe,Birch,BISG04,499704.00000000000,4358234.00000000000,0.82282292843
Toiyabe,Birch,BISG05,499786.00000000000,4358187.00000000000,-0.22502963245
Toiyabe,Birch,BISG06,499869.00000000000,4358135.00000000000,-0.56795209646
Toiyabe,Birch,BISG07,499925.00000000000,4358107.00000000000,-0.95222973824
Toiyabe,Birch,BISG08,500026.00000000000,4358096.00000000000,0.39322525263
Monitor,Barley,BL01,526371.00000000000,4274731.00000000000,-0.77023750544
Monitor,Barley,BL02,526460.00000000000,4275079.00000000000,-0.92529118061
Monitor,Barley,BL03,526524.00000000000,4275434.00000000000,0.82358199358
Monitor,Barley,BL04,527520.00000000000,4275949.00000000000,-0.77023750544
Monitor,Barley,BL05,527839.00000000000,4276098.00000000000,0.55690556765
Monitor,Barley,BL06,528178.00000000000,4276244.00000000000,0.82358199358
Monitor,Barley,BL07,528540.00000000000,4276183.00000000000,-0.77023750544
Monitor,Barley,BL08,529291.00000000000,4276396.00000000000,0.41421169043
Monitor,Barley,BL09,529636.00000000000,4276547.00000000000,-0.44807362557
Monitor,Barley,BL10,530218.00000000000,4277084.00000000000,0.10777962208
Monitor,Barley,BL11,530677.00000000000,4277376.00000000000,0.66609907150
Monitor,Barley,BL12,531363.00000000000,4278415.00000000000,0.08743390441
Monitor,Barley,BL13,531457.00000000000,4278622.00000000000,-0.87048250437
Monitor,Barley,BL14,531603.00000000000,4278935.00000000000,0.46358636022
Monitor,Barley,BL15,531506.00000000000,4279427.00000000000,0.97163879871
Monitor,Barley,BL16,531518.00000000000,4279788.00000000000,-0.99608784914
Monitor,Charnoc North,CBN01,546194.00000000000,4349269.00000000000,0.99487936497
Monitor,Charnoc North,CBN02,546476.00000000000,4349215.00000000000,0.30921003223
Monitor,Charnoc North,CBN04,546131.00000000000,4350086.00000000000,0.52532196045
Monitor,Charnoc North,CBN05,546053.00000000000,4349771.00000000000,0.47599875927
Monitor,Charnoc North,CBNSG01,546077.00000000000,4349281.00000000000,0.36835208535
Monitor,Charnoc North,CBNSG02,546176.00000000000,4349266.00000000000,-0.94728761911
Monitor,Charnoc North,CBNSG03,546070.00000000000,4349248.00000000000,0.71163642407
Monitor,Charnoc North,CBNSG04,546169.00000000000,4349237.00000000000,-0.10681048781
Monitor,Charnoc North,CBNSG05,546221.00000000000,4349275.00000000000,0.35657459498
Monitor,Charnoc North,CBNSG06,546311.00000000000,4349239.00000000000,-0.39203840494
Monitor,Charnoc North,CBNSG07,546221.00000000000,4349242.00000000000,0.72416162491
Monitor,Charnoc North,CBNSG08,546312.00000000000,4349205.00000000000,-0.04996915534
Monitor,Charnoc North,CBNSG09,546120.00000000000,4350090.00000000000,0.52532196045
Monitor,Charnoc North,CBNSG10,546108.00000000000,4349991.00000000000,0.52532196045
Monitor,Charnoc North,CBNSG11,546083.00000000000,4350089.00000000000,-0.93458795548
Monitor,Charnoc North,CBNSG12,546079.00000000000,4349994.00000000000,-0.27261969447
Monitor,Charnoc North,CBNSG13,546054.00000000000,4349785.00000000000,-0.27261969447
Monitor,Charnoc North,CBNSG14,546035.00000000000,4349684.00000000000,0.13804706931
Monitor,Charnoc North,CBNSG15,546048.00000000000,4349787.00000000000,-0.27261969447
Monitor,Charnoc North,CBNSG16,546022.00000000000,4349688.00000000000,0.52532196045
Monitor,Charnoc South,CBS01,545790.00000000000,4345796.00000000000,-0.85737419128
Monitor,Charnoc South,CBS02,545551.00000000000,4345989.00000000000,0.56796354055
Monitor,Charnoc South,CBS03,545275.00000000000,4346025.00000000000,-0.87048250437
Monitor,Charnoc South,CBS04,545075.00000000000,4346243.00000000000,-0.67637890577
Monitor,Charnoc South,CBS05,544990.00000000000,4346534.00000000000,-0.22396227717
Monitor,Charnoc South,CBSSG01,545790.00000000000,4345796.00000000000,-0.85737419128
Monitor,Charnoc South,CBSSG02,545720.00000000000,4345865.00000000000,-0.38347351551
Monitor,Charnoc South,CBSSG03,545769.00000000000,4345787.00000000000,0.96154421568
Monitor,Charnoc South,CBSSG04,545692.00000000000,4345851.00000000000,-0.83075970411
Monitor,Charnoc South,CBSSG05,545686.00000000000,4345898.00000000000,-0.73724049330
Monitor,Charnoc South,CBSSG06,545606.00000000000,4345967.00000000000,-0.59846007824
Monitor,Charnoc South,CBSSG07,545681.00000000000,4345895.00000000000,0.36731937528
Monitor,Charnoc South,CBSSG08,545608.00000000000,4345956.00000000000,-0.55183935165
Monitor,Charnoc South,CBSSG09,545553.00000000000,4345981.00000000000,-0.94694101811
Monitor,Charnoc South,CBSSG10,545475.00000000000,4346035.00000000000,-0.03634307534
Monitor,Charnoc South,CBSSG11,545565.00000000000,4346000.00000000000,0.73677724600
Monitor,Charnoc South,CBSSG12,545485.00000000000,4346054.00000000000,0.79405158758
Monitor,Charnoc South,CBSSG13,545077.00000000000,4346261.00000000000,-0.44807362557
Monitor,Charnoc South,CBSSG14,545099.00000000000,4346352.00000000000,-0.04998439550
Monitor,Charnoc South,CBSSG15,545098.00000000000,4346257.00000000000,0.41419780254
Monitor,Charnoc South,CBSSG16,545119.00000000000,4346352.00000000000,-0.99608784914
Monitor,Dobbin East,DE05.1,542202.00000000000,4310091.00000000000,-0.96188598871
Monitor,Dobbin East,DE05.2,542034.00000000000,4309778.00000000000,-0.99984812737
Monitor,Dobbin East,DE05.3,542287.00000000000,4309074.00000000000,1.00000000000
Monitor,Dobbin East,DE06.1,542619.00000000000,4308317.00000000000,0.55690556765
Monitor,Dobbin East,DE06.2,543285.00000000000,4307564.00000000000,0.96154421568
Monitor,Dobbin East,DE06.3,544055.00000000000,4306636.00000000000,0.66609907150
Monitor,Dobbin East,DE07.1,544410.00000000000,4306641.00000000000,-0.92515605688
Monitor,Dobbin East,DE07.2,544812.00000000000,4306347.00000000000,0.52532196045
Monitor,Dobbin East,DE07.3,544582.00000000000,4305903.00000000000,-0.44807362557
Monitor,Dobbin West,DW01.1,537501.00000000000,4315491.00000000000,-0.59846007824
Monitor,Dobbin West,DW01.2,538162.00000000000,4314128.00000000000,-0.59846007824
Monitor,Dobbin West,DW02.1,538838.00000000000,4313180.00000000000,0.98111134768
Monitor,Dobbin West,DW02.2,539670.00000000000,4312535.00000000000,-0.59846007824
Monitor,Dobbin West,DW03.1,539960.00000000000,4312319.00000000000,0.99970173836
Monitor,Dobbin West,DW03.2,540419.00000000000,4312155.00000000000,0.28348931670
Monitor,Dobbin West,DW03.3,541818.00000000000,4311882.00000000000,0.57293927670
Monitor,Dobbin West,DW04.1,542293.00000000000,4310862.00000000000,-0.44807362557
Monitor,Dobbin West,DW04.2,542325.00000000000,4310390.00000000000,0.94638806582
Monitor,Elkhorn,EH01,530390.00000000000,4271303.00000000000,-0.98943448067
Monitor,Elkhorn,EH02,530128.00000000000,4271033.00000000000,-0.50828927755
Monitor,Elkhorn,EH03,530010.00000000000,4271331.00000000000,0.48191729188
Monitor,Elkhorn,EH04,530210.00000000000,4271544.00000000000,0.36289390922
Monitor,Elkhorn,EHSG01,530111.00000000000,4271108.00000000000,0.87474632263
Monitor,Elkhorn,EHSG02,530200.00000000000,4271151.00000000000,0.78291720152
Monitor,Elkhorn,EHSG03,530086.00000000000,4271145.00000000000,-0.21237637103
Monitor,Elkhorn,EHSG04,530178.00000000000,4271179.00000000000,-0.99870377779
Monitor,Elkhorn,EHSG05,530018.00000000000,4271269.00000000000,-0.93388873339
Monitor,Elkhorn,EHSG06,530114.00000000000,4271251.00000000000,0.43661791086
Monitor,Elkhorn,EHSG07,530069.00000000000,4271532.00000000000,0.64729171991
Monitor,Elkhorn,EHSG08,530110.00000000000,4271438.00000000000,-0.90697658062
Monitor,Elkhorn,EHSG09,530100.00000000000,4271548.00000000000,0.49299728870
Monitor,Elkhorn,EHSG10,530130.00000000000,4271450.00000000000,-0.71333456039
Toiyabe,Grass Springs,GS01,498568.00000000000,4370386.00000000000,0.82921516895
Toiyabe,Grass Springs,GS02,498766.00000000000,4370378.00000000000,-0.28018116951
Toiyabe,Grass Springs,GS03,499376.00000000000,4370360.00000000000,-0.97194671631
Toiyabe,Grass Springs,GS04,499391.00000000000,4370537.00000000000,0.74919134378
Toiyabe,Grass Springs,GS05,499165.00000000000,4370619.00000000000,-0.98873412609
Toiyabe,Grass Springs,GS06,498953.00000000000,4370678.00000000000,-0.39640706778
Toiyabe,Grass Springs,GS07,498729.00000000000,4370665.00000000000,0.35657459498
Toiyabe,Grass Springs,GS08,498840.00000000000,4370884.00000000000,-0.34085923433
Toiyabe,Grass Springs,GS09,499234.00000000000,4371042.00000000000,0.98228740692
Toiyabe,Grass Springs,GS10,499449.00000000000,4370812.00000000000,0.35658171773
Toiyabe,Grass Springs,GSSG01,499141.00000000000,4370513.00000000000,-0.87048250437
Toiyabe,Grass Springs,GSSG02,499116.00000000000,4370414.00000000000,-0.99950468540
Toiyabe,Grass Springs,GSSG03,499107.00000000000,4370515.00000000000,-0.85737419128
Toiyabe,Grass Springs,GSSG04,499080.00000000000,4370419.00000000000,-0.22502963245
Toiyabe,Grass Springs,GSSG05,499043.00000000000,4370518.00000000000,0.43661791086
Toiyabe,Grass Springs,GSSG06,499014.00000000000,4370426.00000000000,-0.87609779835
Toiyabe,Grass Springs,GSSG07,499008.00000000000,4370531.00000000000,-0.54007196426
Toiyabe,Grass Springs,GSSG08,498976.00000000000,4370428.00000000000,-0.98943448067
Toiyabe,Grass Springs,GSSG09,498935.00000000000,4370523.00000000000,0.96154421568
Toiyabe,Grass Springs,GSSG10,498927.00000000000,4370418.00000000000,-0.87609779835
Toiyabe,Grass Springs,GSSG11,498902.00000000000,4370511.00000000000,-0.86994284391
Toiyabe,Grass Springs,GSSG12,498892.00000000000,4370412.00000000000,-0.94729250670
Toiyabe,Jett,JE01.1,481292.00000000000,4286426.00000000000,0.09609936178
Toiyabe,Jett,JE01.2,480943.00000000000,4286510.00000000000,0.94639301300
Toiyabe,Jett,JE01.3,480602.00000000000,4286575.00000000000,0.62811291218
Toiyabe,Jett,JE02.1,480042.00000000000,4286915.00000000000,-0.39640706778
Toiyabe,Jett,JE02.2,479554.00000000000,4287084.00000000000,-0.99999606609
Toiyabe,Jett,JE02.3,479032.00000000000,4287356.00000000000,0.38992393017
Toiyabe,Jett,JE03.1,478738.00000000000,4287599.00000000000,-0.54761427641
Toiyabe,Jett,JE03.2,478552.00000000000,4287654.00000000000,-0.59846007824
Toiyabe,Jett,JE03.3,478243.00000000000,4287949.00000000000,0.99071490765
Toquima,Meadow,MD01.1,512295.00000000000,4277782.00000000000,-0.94729250670
Toquima,Meadow,MD01.2,511844.00000000000,4278222.00000000000,0.71086645126
Toquima,Meadow,MD01.3,511062.00000000000,4279066.00000000000,0.77011305094
Toquima,Meadow,MD02.1,510018.00000000000,4280073.00000000000,-0.59846007824
Toquima,Meadow,MD02.2,509176.00000000000,4280604.00000000000,0.99809324741
Toquima,Meadow,MD02.3,508562.00000000000,4281002.00000000000,-0.87609779835
Toquima,Meadow,MD03.1,507148.00000000000,4282357.00000000000,-0.34262388945
Toquima,Meadow,MD03.2,506561.00000000000,4282170.00000000000,0.99870228767
Toquima,Meadow,MD04.1,505955.00000000000,4281915.00000000000,-0.59846007824
Toquima,Meadow,MD04.2,505683.00000000000,4282116.00000000000,0.99807447195
Toquima,Meadow,MD05.1,505506.00000000000,4282528.00000000000,-0.87048250437
Toquima,Meadow,MD05.2,505212.00000000000,4282660.00000000000,-0.99608784914
Toquima,Moores East,ME01.1,508352.00000000000,4301628.00000000000,-0.04998439550
Toquima,Moores East,ME01.2,508762.00000000000,4301637.00000000000,0.12813165784
Toquima,Moores East,ME02.1,509541.00000000000,4301985.00000000000,-0.59846007824
Toquima,Moores East,ME02.2,509955.00000000000,4302205.00000000000,0.04931506887
Toquima,Moores East,ME03.1,511611.00000000000,4301799.00000000000,-0.71071845293
Toquima,Moores East,ME03.2,511995.00000000000,4301668.00000000000,-0.59846007824
Toquima,Moores East,ME04.1,513245.00000000000,4300632.00000000000,0.98111134768
Toquima,Moores East,ME04.2,514277.00000000000,4300653.00000000000,1.00000000000
Toquima,Moores West,MW01.1,502376.00000000000,4304048.00000000000,0.36731937528
Toquima,Moores West,MW01.2,503722.00000000000,4303756.00000000000,-0.93458795548
Toquima,Moores West,MW02.1,504135.00000000000,4303463.00000000000,0.30921003223
Toquima,Moores West,MW02.2,504416.00000000000,4303175.00000000000,0.35657459498
Toquima,Moores West,MW03.1,505236.00000000000,4302426.00000000000,-0.88835209608
Toquima,Moores West,MW03.2,505684.00000000000,4301905.00000000000,0.10075605661
Toquima,Moores West,MW04.1,506482.00000000000,4300881.00000000000,-0.13527725637
Toquima,Moores West,MW04.2,507099.00000000000,4301024.00000000000,-0.99794882536
Toquima,Moores West,MW05.1,507488.00000000000,4301516.00000000000,0.13804706931
Toquima,Moores West,MW05.2,507782.00000000000,4301548.00000000000,0.36731937528
Toquima,Northumberland East,NE01.1,514315.00000000000,4306160.00000000000,0.47598531842
Toquima,Northumberland East,NE01.2,513633.00000000000,4306615.00000000000,0.98111134768
Toquima,Northumberland East,NE02.1,511935.00000000000,4308340.00000000000,-0.97194671631
Toquima,Northumberland East,NE02.2,512003.00000000000,4309382.00000000000,0.75436979532
Toquima,Northumberland East,NE03.1,512846.00000000000,4310449.00000000000,0.22523462772
Toquima,Northumberland East,NE03.2,513433.00000000000,4310531.00000000000,-0.99929517508
Toquima,Northumberland East,NE04.1,513289.00000000000,4310889.00000000000,0.99747663736
Toquima,Northumberland East,NE04.2,513369.00000000000,4311288.00000000000,-0.98788678646
Toquima,Northumberland East,NE05.1,513374.00000000000,4312341.00000000000,-0.35540914536
Toquima,Northumberland East,NE05.2,513403.00000000000,4313107.00000000000,-0.36712366343
Toquima,Northumberland West,NW01.1,508212.00000000000,4316584.00000000000,0.10075605661
Toquima,Northumberland West,NW01.2,509227.00000000000,4315457.00000000000,0.31372720003
Toquima,Northumberland West,NW02.1,509726.00000000000,4315261.00000000000,0.98491048813
Toquima,Northumberland West,NW02.2,511246.00000000000,4314659.00000000000,0.36731937528
Toquima,Northumberland West,NW03.1,511731.00000000000,4314385.00000000000,0.36731937528
Toquima,Northumberland West,NW03.2,512152.00000000000,4313855.00000000000,0.06738327444
Toquima,Northumberland West,NW04.1,512270.00000000000,4313577.00000000000,-0.72808074951
Toquima,Northumberland West,NW04.2,512335.00000000000,4312993.00000000000,0.36289390922
Toquima,Northumberland West,NW05.1,512242.00000000000,4312720.00000000000,-0.45636111498
Toquima,Northumberland West,NW06.1,512700.00000000000,4312966.00000000000,0.39322525263
Toquima,Northumberland West,NW06.2,513081.00000000000,4313099.00000000000,-0.96207284927
Toiyabe,Ophir,OP01.1,478608.00000000000,4310154.00000000000,0.10285573453
Toiyabe,Ophir,OP01.2,478207.00000000000,4310375.00000000000,0.72311860323
Toiyabe,Ophir,OP02.1,477850.00000000000,4310416.00000000000,-0.99962556362
Toiyabe,Ophir,OP02.2,477519.00000000000,4310331.00000000000,-0.59846007824
Toiyabe,Ophir,OP03.1,477123.00000000000,4310512.00000000000,-0.35540914536
Toiyabe,Ophir,OP03.2,476818.00000000000,4310735.00000000000,-0.99857985973
Toiyabe,Ophir,OP04.1,475875.00000000000,4310641.00000000000,0.17113572359
Toiyabe,Ophir,OP05.1,475407.00000000000,4310665.00000000000,0.65264701843
Toiyabe,Ophir,OP05.2,474938.00000000000,4310724.00000000000,0.81267261505
Toiyabe,Ophir,OP06.1,474322.00000000000,4310756.00000000000,-0.91577750444
Toiyabe,Ophir,OP06.2,473902.00000000000,4310610.00000000000,-0.86098754406
Toiyabe,Ophir,OP07.1,473586.00000000000,4310655.00000000000,-0.85737419128
Toiyabe,Ophir,OP08.1,473340.00000000000,4310304.00000000000,-0.85846251249
Toiyabe,Ophir,OP09.1,473110.00000000000,4310337.00000000000,0.43242475390
Toiyabe,Ophir,OP09.2,472702.00000000000,4310313.00000000000,0.09730641544
Shoshone,Riley,RI01.1,463233.00000000000,4329300.00000000000,-0.64676910639
Shoshone,Riley,RI01.2,462743.00000000000,4329787.00000000000,-0.35540914536
Shoshone,Riley,RI02.1,462578.00000000000,4330360.00000000000,0.83426666260
Shoshone,Riley,RI02.2,462370.00000000000,4330938.00000000000,0.22523462772
Shoshone,Riley,RI03.1,462568.00000000000,4332105.00000000000,1.00000000000
Shoshone,Riley,RI03.2,462716.00000000000,4332560.00000000000,0.07555891573
Shoshone,Riley,RI04.1,462527.00000000000,4333413.00000000000,-0.96526068449
Shoshone,Riley,RI04.2,462424.00000000000,4334066.00000000000,0.82358199358
Shoshone,Riley,RI05.1,462019.00000000000,4334785.00000000000,0.60864448547
Shoshone,Riley,RI05.2,462451.00000000000,4334910.00000000000,0.81267261505
Monitor,Ryegrass,RY01,550541.00000000000,4337427.00000000000,0.35657459498
Monitor,Ryegrass,RY02,549231.00000000000,4336911.00000000000,0.36731937528
Monitor,Ryegrass,RY03,547857.00000000000,4337274.00000000000,-0.44807362557
Monitor,Ryegrass,RY04,546829.00000000000,4337745.00000000000,-0.87048250437
Monitor,Ryegrass,RY05,545857.00000000000,4337650.00000000000,0.50438517332
Monitor,Ryegrass,RY06,545188.00000000000,4338026.00000000000,-0.59846007824
Monitor,Ryegrass,RY07,544472.00000000000,4338787.00000000000,1.00000000000
Toiyabe,San Juan,SJ01.1,475112.00000000000,4333109.00000000000,0.62811291218
Toiyabe,San Juan,SJ01.2,475197.00000000000,4332753.00000000000,0.75388747454
Toiyabe,San Juan,SJ01.3,475522.00000000000,4331845.00000000000,-0.44807362557
Toiyabe,San Juan,SJ02.1,476215.00000000000,4330473.00000000000,-0.99857985973
Toiyabe,San Juan,SJ02.2,476201.00000000000,4330189.00000000000,0.04719164595
Toiyabe,San Juan,SJ02.3,476920.00000000000,4330237.00000000000,-0.32236900926
Toiyabe,San Juan,SJ03.1,477190.00000000000,4330669.00000000000,-0.55689400435
Toiyabe,San Juan,SJ03.2,477327.00000000000,4330880.00000000000,0.10075605661
Toiyabe,San Juan,SJ04.1,477284.00000000000,4331007.00000000000,-0.94729250670
Toiyabe,San Juan,SJ04.2,477468.00000000000,4331144.00000000000,-0.35540914536
Toiyabe,San Juan,SJ05.1,477710.00000000000,4331150.00000000000,0.89950281382
Toiyabe,San Juan,SJ05.2,478015.00000000000,4330640.00000000000,0.73677724600
Toiyabe,Summit,SU01.1,479257.00000000000,4313358.00000000000,0.89950281382
Toiyabe,Summit,SU01.2,478677.00000000000,4313528.00000000000,0.91527587175
Toiyabe,Summit,SU02.1,478370.00000000000,4313751.00000000000,0.99149388075
Toiyabe,Summit,SU02.2,478226.00000000000,4313749.00000000000,0.25324982405
Toiyabe,Summit,SU03.1,477620.00000000000,4314075.00000000000,0.87669843435
Toiyabe,Summit,SU03.2,477277.00000000000,4314119.00000000000,0.81452953816
Toiyabe,Summit,SU04.1,476898.00000000000,4314091.00000000000,0.92483466864
Toiyabe,Summit,SU04.2,476402.00000000000,4314164.00000000000,-0.19974184036
Toiyabe,Summit,SU05.1,476069.00000000000,4314635.00000000000,0.66609907150
Toiyabe,Summit,SU05.2,475934.00000000000,4314998.00000000000,-0.36896085739
Toiyabe,Summit,SU06.1,475658.00000000000,4315078.00000000000,-0.94729250670
Toiyabe,Summit,SU06.2,475781.00000000000,4314913.00000000000,0.82387596369
Toiyabe,Stewart,SW00.1,467063.00000000000,4305943.00000000000,0.40475890040
Toiyabe,Stewart,SW01.1,467308.00000000000,4305727.00000000000,-0.05107830837
Toiyabe,Stewart,SW01.2,467478.00000000000,4305383.00000000000,0.77137196064
Toiyabe,Stewart,SW02.1,467712.00000000000,4305124.00000000000,0.87669843435
Toiyabe,Stewart,SW02.2,467930.00000000000,4304901.00000000000,0.67545980215
Toiyabe,Stewart,SW03.1,468386.00000000000,4304751.00000000000,-0.44807362557
Toiyabe,Stewart,SW03.2,468645.00000000000,4304499.00000000000,-0.39203840494
Toiyabe,Stewart,SW04.1,468921.00000000000,4304312.00000000000,-0.77657926083
Toiyabe,Stewart,SW05.1,469128.00000000000,4304223.00000000000,-0.45822733641
Toiyabe,Stewart,SW05.2,469271.00000000000,4304135.00000000000,-0.96188598871
Toiyabe,Stewart,SW06.1,469408.00000000000,4303832.00000000000,0.61821049452
Toiyabe,Stewart,SW06.2,469437.00000000000,4303521.00000000000,-0.73264777660
