state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed.1,prop_grazed
Nevada,Toquima,Meadow,MD04.2,10,0,point,2015,2619,0,NA,,,,,,140,141,505683,4282116,,
Nevada,Toquima,Meadow,MD05.1,10,0,point,2015,2660,0,NA,,,,,,140,141,505506,4282528,,
Nevada,Toquima,Meadow,MD05.2,10,0,point,2015,2674,0,NA,,,,,,131,135,505212,4282660,,
Nevada,Toquima,Moores East,ME01.1,10,2,point,2015,2543,0,NA,,,,,,97,121,508352,4301628,,
Nevada,Toquima,Moores East,ME01.2,10,0,point,2015,2509,0,NA,,,,,,97,121,508762,4301637,,
Nevada,Toquima,Moores East,ME02.1,10,0,point,2015,2452,0,NA,,,,,,96,120,509541,4301985,,
Nevada,Toquima,Moores East,ME02.2,10,0,point,2015,2432,0,NA,,,,,,96,120,509955,4302205,,
Nevada,Toquima,Moores East,ME03.1,10,0,point,2015,2327,0,NA,,,,,,96,120,511611,4301799,,
Nevada,Toquima,Moores East,ME03.2,10,0,point,2015,2303,0,NA,,,,,,96,120,511995,4301668,,
Nevada,Toquima,Moores East,ME04.1,10,0,point,2015,2228,0,NA,,,,,,77,109,513245,4300632,,
Nevada,Toquima,Moores East,ME04.2,10,0,point,2015,2196,0,NA,,,,,,77,109,514277,4300653,,
Nevada,Toquima,Moores West,MW01.1,10,0,point,2015,2092,0,NA,,,,,,65,99,502376,4304048,,
Nevada,Toquima,Moores West,MW01.2,10,0,point,2015,2186,0,NA,,,,,,65,99,503722,4303756,,
Nevada,Toquima,Moores West,MW02.1,10,0,point,2015,2222,0,NA,,,,,,65,99,504135,4303463,,
Nevada,Toquima,Moores West,MW02.2,10,0,point,2015,2250,0,NA,,,,,,65,99,504416,4303175,,
Nevada,Toquima,Moores West,MW03.1,10,0,point,2015,2348,0,NA,,,,,,65,99,505236,4302426,,
Nevada,Toquima,Moores West,MW03.2,10,0,point,2015,2405,0,NA,,,,,,97,121,505684,4301905,,
Nevada,Toquima,Moores West,MW04.1,10,0,point,2015,2384,0,NA,,,,,,97,121,506482,4300881,,
Nevada,Toquima,Moores West,MW04.2,10,0,point,2015,2447,0,NA,,,,,,97,121,507099,4301024,,
Nevada,Toquima,Moores West,MW05.1,10,0,point,2015,2473,0,NA,,,,,,97,121,507488,4301516,,
Nevada,Toquima,Moores West,MW05.2,10,0,point,2015,2506,0,NA,,,,,,97,121,507782,4301548,,
Nevada,Toquima,Northumberland East,NE01.1,10,0,point,2015,2276,0,NA,,,,,,112,128,514315,4306160,,
Nevada,Toquima,Northumberland East,NE01.2,10,0,point,2015,2291,0,NA,,,,,,112,128,513633,4306615,,
Nevada,Toquima,Northumberland East,NE02.1,10,0,point,2015,2358,0,NA,,,,,,108,127,511935,4308340,,
Nevada,Toquima,Northumberland East,NE02.2,10,0,point,2015,2393,0,NA,,,,,,108,127,512003,4309382,,
Nevada,Toquima,Northumberland East,NE03.1,10,0,point,2015,2474,0,NA,,,,,,147,146,512846,4310449,,
Nevada,Toquima,Northumberland East,NE03.2,10,0,point,2015,2522,0,NA,,,,,,147,146,513433,4310531,,
Nevada,Toquima,Northumberland East,NE04.1,10,0,point,2015,2589,0,NA,,,,,,147,146,513289,4310889,,
Nevada,Toquima,Northumberland East,NE04.2,10,0,point,2015,2614,0,NA,,,,,,147,146,513369,4311288,,
Nevada,Toquima,Northumberland East,NE05.1,10,0,point,2015,2670,0,NA,,,,,,147,146,513374,4312341,,
Nevada,Toquima,Northumberland East,NE05.2,10,0,point,2015,2714,0,NA,,,,,,147,146,513403,4313107,,
Nevada,Toquima,Northumberland West,NW01.1,10,2,point,2015,2126,0,NA,,,,,,67,104,508212,4316584,,
Nevada,Toquima,Northumberland West,NW01.2,10,0,point,2015,2183,0,NA,,,,,,101,124,509227,4315457,,
Nevada,Toquima,Northumberland West,NW02.1,10,0,point,2015,2217,0,NA,,,,,,101,124,509726,4315261,,
Nevada,Toquima,Northumberland West,NW02.2,10,0,point,2015,2295,0,NA,,,,,,101,124,511246,4314659,,
Nevada,Toquima,Northumberland West,NW03.1,10,0,point,2015,2337,0,NA,,,,,,127,137,511731,4314385,,
Nevada,Toquima,Northumberland West,NW03.2,10,0,point,2015,2414,0,NA,,,,,,127,137,512152,4313855,,
Nevada,Toquima,Northumberland West,NW04.1,10,1,point,2015,2446,0,NA,,,,,,127,137,512270,4313577,,
Nevada,Toquima,Northumberland West,NW04.2,10,1,point,2015,2519,0,NA,,,,,,127,137,512335,4312993,,
Nevada,Toquima,Northumberland West,NW05.1,10,0,point,2015,2550,0,NA,,,,,,127,137,512242,4312720,,
Nevada,Toquima,Northumberland West,NW06.1,10,1,point,2015,2611,0,NA,,,,,,147,146,512700,4312966,,
Nevada,Toquima,Northumberland West,NW06.2,10,0,point,2015,2687,0,NA,,,,,,147,146,513081,4313099,,
Nevada,Shoshone,Riley,RI01.1,10,3,point,2015,2065,0,NA,,,,,,69,111,463233,4329300,,
Nevada,Shoshone,Riley,RI01.2,10,3,point,2015,2115,0,NA,,,,,,69,111,462743,4329787,,
Nevada,Shoshone,Riley,RI02.1,10,0,point,2015,2147,0,NA,,,,,,69,111,462578,4330360,,
Nevada,Shoshone,Riley,RI02.2,10,0,point,2015,2182,0,NA,,,,,,69,111,462370,4330938,,
Nevada,Shoshone,Riley,RI03.1,10,0,point,2015,2259,0,NA,,,,,,69,111,462568,4332105,,
Nevada,Shoshone,Riley,RI03.2,10,0,point,2015,2305,0,NA,,,,,,69,111,462716,4332560,,
Nevada,Shoshone,Riley,RI04.1,10,0,point,2015,2368,0,NA,,,,,,98,127,462527,4333413,,
Nevada,Shoshone,Riley,RI04.2,10,1,point,2015,2412,0,NA,,,,,,98,127,462424,4334066,,
Nevada,Shoshone,Riley,RI05.1,10,0,point,2015,2483,0,NA,,,,,,159,157,462019,4334785,,
Nevada,Shoshone,Riley,RI05.2,10,0,point,2015,2545,0,NA,,,,,,98,127,462451,4334910,,
Nevada,Monitor,Ryegrass,RY01,10,0,point,2015,2144,0,NA,,,,,,54,88,550541,4337427,,
Nevada,Monitor,Ryegrass,RY02,10,0,point,2015,2186,0,NA,,,,,,54,88,549231,4336911,,
Nevada,Monitor,Ryegrass,RY03,10,0,point,2015,2235,0,NA,,,,,,81,105,547857,4337274,,
Nevada,Monitor,Ryegrass,RY04,10,0,point,2015,2283,0,NA,,,,,,66,98,546829,4337745,,
Nevada,Monitor,Ryegrass,RY05,10,0,point,2015,2337,0,NA,,,,,,81,105,545857,4337650,,
Nevada,Monitor,Ryegrass,RY06,10,0,point,2015,2399,0,NA,,,,,,66,98,545188,4338026,,
Nevada,Monitor,Ryegrass,RY07,10,0,point,2015,2412,0,NA,,,,,,67,99,544472,4338787,,
Nevada,Toiyabe,San Juan,SJ01.1,10,5,point,2015,2104,0,NA,,,,,,52,101,475112,4333109,,
Nevada,Toiyabe,San Juan,SJ01.2,10,1,point,2015,2117,0,NA,,,,,,76,115,475197,4332753,,
Nevada,Toiyabe,San Juan,SJ01.3,10,2,point,2015,2160,0,NA,,,,,,76,115,475522,4331845,,
Nevada,Toiyabe,San Juan,SJ02.1,10,6,point,2015,2220,0,NA,,,,,,76,115,476215,4330473,,
Nevada,Toiyabe,San Juan,SJ02.2,10,3,point,2015,2230,0,NA,,,,,,76,115,476201,4330189,,
Nevada,Toiyabe,San Juan,SJ02.3,10,2,point,2015,2289,0,NA,,,,,,123,141,476920,4330237,,
Nevada,Toiyabe,San Juan,SJ03.1,10,0,point,2015,2338,0,NA,,,,,,123,141,477190,4330669,,
Nevada,Toiyabe,San Juan,SJ03.2,10,0,point,2015,2384,0,NA,,,,,,123,141,477327,4330880,,
Nevada,Toiyabe,San Juan,SJ04.1,10,0,point,2015,2401,0,NA,,,,,,123,141,477284,4331007,,
Nevada,Toiyabe,San Juan,SJ04.2,10,3,point,2015,2446,0,NA,,,,,,123,141,477468,4331144,,
Nevada,Toiyabe,San Juan,SJ05.1,10,0,point,2015,2504,0,NA,,,,,,123,141,477710,4331150,,
Nevada,Toiyabe,San Juan,SJ05.2,10,0,point,2015,2553,0,NA,,,,,,123,141,478015,4330640,,
Nevada,Toiyabe,Summit,SU01.1,10,0,point,2015,1989,0,NA,,,,,,63,100,479257,4313358,,
Nevada,Toiyabe,Summit,SU01.2,10,0,point,2015,2072,0,NA,,,,,,63,100,478677,4313528,,
Nevada,Toiyabe,Summit,SU02.1,10,0,point,2015,2125,0,NA,,,,,,63,100,478370,4313751,,
Nevada,Toiyabe,Summit,SU02.2,10,0,point,2015,2146,0,NA,,,,,,63,100,478226,4313749,,
Nevada,Toiyabe,Summit,SU03.1,10,0,point,2015,2280,0,NA,,,,,,63,100,477620,4314075,,
